gene	BL6_HNF4A	CAST_HNF4A	SPRET_HNF4A	CAR_HNF4A
ENSMUSG00000000001	244.625	338.4166667	159	96.5
ENSMUSG00000000003	0	41	0	0
ENSMUSG00000000028	184.5	199.6875	289.4	107
ENSMUSG00000000037	0	0	41	20
ENSMUSG00000000049	224.2631579	179.7916667	191.5	120.1875
ENSMUSG00000000056	266.25	317.0769231	141.4	204.8333333
ENSMUSG00000000058	165.3333333	98.25	141.3333333	58.5
ENSMUSG00000000078	142.25	246.2	96.5	78
ENSMUSG00000000085	145.5	119.8	0	31
ENSMUSG00000000088	156.8888889	191	181	88
ENSMUSG00000000093	122.7777778	145.4444444	101.25	93.5
ENSMUSG00000000094	71.16666667	98.83333333	90.33333333	43
ENSMUSG00000000103	0	0	0	43.5
ENSMUSG00000000120	154.3333333	104.75	103	63
ENSMUSG00000000125	179.4285714	214	198.3333333	75.75
ENSMUSG00000000126	162.6666667	168.75	147.6666667	144
ENSMUSG00000000127	130.25	85.5	36.5	109
ENSMUSG00000000131	186.3846154	269.7647059	160.8	146.7142857
ENSMUSG00000000134	112.8	88.18181818	70.1	50.4
ENSMUSG00000000142	236	158.3636364	237.8333333	102.3333333
ENSMUSG00000000148	169.5714286	220.1666667	84.33333333	0
ENSMUSG00000000149	264	322	114.0833333	83
ENSMUSG00000000154	243.2	255.7	178.1	140.7
ENSMUSG00000000157	317.25	388	278	102.3333333
ENSMUSG00000000159	318.1666667	327.7142857	206.6	99
ENSMUSG00000000167	280.3684211	321.0833333	189.1666667	142.5555556
ENSMUSG00000000168	257.1666667	282.9	171.3076923	132.25
ENSMUSG00000000171	298.8421053	328.2307692	195.4615385	140.5
ENSMUSG00000000182	73	85	71	45
ENSMUSG00000000183	73	85	71	0
ENSMUSG00000000184	73	85	71	45
ENSMUSG00000000194	113.75	205.25	99.25	105.1111111
ENSMUSG00000000197	0	0	0	0
ENSMUSG00000000202	331.2222222	344.1	212	162.375
ENSMUSG00000000204	91.5	148.5	80	72.5
ENSMUSG00000000214	49	36	43	25
ENSMUSG00000000215	168.75	99.25	63	49
ENSMUSG00000000216	177.875	165.5	99	68.8
ENSMUSG00000000223	79	72	0	0
ENSMUSG00000000244	243.75	193	118.6	166.5
ENSMUSG00000000247	188.375	126.8333333	117.4	69.57142857
ENSMUSG00000000248	243.4	226.3333333	117.8571429	0
ENSMUSG00000000253	227.6666667	214.75	230.5	145
ENSMUSG00000000263	0	186	83	0
ENSMUSG00000000266	200	163.1111111	214.5	56
ENSMUSG00000000275	341.1428571	289.7692308	170.9	121.7142857
ENSMUSG00000000276	363.9	297.9166667	200.125	130.1666667
ENSMUSG00000000278	316.2631579	261.952381	213.5454545	121.75
ENSMUSG00000000282	281.5238095	246.5625	230.3636364	145.875
ENSMUSG00000000290	408	390.6111111	236.2	157.9230769
ENSMUSG00000000295	46	40	0	68.5
ENSMUSG00000000296	208.1666667	180.6666667	204.75	80.8
ENSMUSG00000000301	195.5294118	211.2380952	191.3636364	96.92307692
ENSMUSG00000000303	124.9333333	162.8095238	148.2352941	104.4615385
ENSMUSG00000000305	138	40	0	20
ENSMUSG00000000308	189.5833333	223	119.25	136.5714286
ENSMUSG00000000317	137.75	161.2222222	112.4444444	111.8
ENSMUSG00000000318	248.6363636	308.8571429	241.7777778	115.1
ENSMUSG00000000320	137.75	161.2222222	123.8333333	97.83333333
ENSMUSG00000000325	523.4615385	392.7647059	264.0625	176.8571429
ENSMUSG00000000326	503.4615385	378.5294118	250.0555556	189.5
ENSMUSG00000000339	126.1666667	75.16666667	96.5	82.5
ENSMUSG00000000340	126.1666667	76	96.5	82.5
ENSMUSG00000000346	304.8	234.3333333	228.5555556	93.33333333
ENSMUSG00000000355	83	97	63	0
ENSMUSG00000000359	189.9090909	160.1	186.1428571	86.33333333
ENSMUSG00000000365	36	55	21	77
ENSMUSG00000000374	176.2857143	194.0555556	171.6666667	88.77777778
ENSMUSG00000000378	139.625	112.4285714	87.75	66.75
ENSMUSG00000000381	135.6666667	107.1538462	95.25	72
ENSMUSG00000000384	143.1428571	108.8	87.2	66.75
ENSMUSG00000000385	257.0909091	207.1111111	168	81
ENSMUSG00000000386	216.1	171.4	104.6	60.66666667
ENSMUSG00000000392	142.625	118.8333333	258.2	76
ENSMUSG00000000394	285.8	287.2	198.5	142
ENSMUSG00000000399	88.33333333	126.3333333	133	0
ENSMUSG00000000402	69	82	67.5	65
ENSMUSG00000000409	150.8	118.7777778	93.66666667	109
ENSMUSG00000000411	140.8888889	112.25	104.75	96
ENSMUSG00000000416	0	0	0	80.66666667
ENSMUSG00000000420	163.5	173.5	173	0
ENSMUSG00000000435	0	172.3333333	0	0
ENSMUSG00000000439	204.9444444	205.6153846	204.1111111	108.1428571
ENSMUSG00000000440	423	283.5	186.6	145.75
ENSMUSG00000000441	219.7647059	217.9230769	230.7142857	114
ENSMUSG00000000486	324.8461538	363.9473684	152.75	222.5
ENSMUSG00000000489	161	163.4	0	47.33333333
ENSMUSG00000000530	238.8333333	259.2666667	248	130.5
ENSMUSG00000000531	302.5	326.7692308	243.5714286	111.6666667
ENSMUSG00000000532	248.6666667	300	258.2222222	131.9166667
ENSMUSG00000000538	204.5	158.9285714	150.5	93.66666667
ENSMUSG00000000544	136.5	116.3333333	63.5	77
ENSMUSG00000000552	282.0833333	221.2	165.1666667	88.91666667
ENSMUSG00000000555	279.3636364	233.75	160.2	90.5
ENSMUSG00000000560	0	0	0	0
ENSMUSG00000000561	178	76.8	125.6	90.4
ENSMUSG00000000562	145.5	80.5	109	88.16666667
ENSMUSG00000000563	178	76.8	125.6	90.4
ENSMUSG00000000567	161.2941176	216.2727273	148.8	53
ENSMUSG00000000568	186.2857143	110.25	87.16666667	100
ENSMUSG00000000579	38	74	0	0
ENSMUSG00000000581	83.5	78.85714286	95	83
ENSMUSG00000000594	238	222.7857143	88.11111111	100.9090909
